orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_rearth,equilibrium_temperature_K,insolation_flux_earth,stellar_temperature_K,stellar_logg_cgs,stellar_radius_sun,signal_to_noise,radius_ratio,log_orbital_period,log_planet_radius,target
-0.035966074,-0.275740481,-0.231194786,-0.023374338,-0.479361528,-0.039155868,-0.179329933,0.370411199,-0.130804035,-0.167203997,-0.063130995,0.157848488,-0.655774506,2
0.006099561,0.057170989,-0.226560628,-0.023092829,-0.973057317,-0.039958913,-0.179329933,0.370411199,-0.130804035,-0.185846275,-0.060545587,1.260150377,-0.478728332,2
-0.026218771,-0.528254744,-0.048977545,-0.017279905,-0.697998235,-0.039671935,0.169235073,0.588552134,-0.144629227,-0.091702773,-0.002657865,0.625260247,0.812833362,1
-0.043222957,-0.394142663,-0.09764515,-0.007965399,0.36979523,-0.031566765,0.127197082,0.645212117,-0.162672274,0.708610208,0.104480191,-0.913674666,1.465664791,0
-0.0424846,-0.555691203,-0.231427389,-0.023132339,0.385311384,-0.031241669,0.325125954,0.288254223,-0.102919325,-0.157696435,-0.062327516,-0.677431292,-0.501301351,2
-0.034462204,0.075970443,-0.215019964,-0.022564381,-0.420118033,-0.038954156,0.338262827,0.424238183,-0.120259397,-0.109972205,-0.056511242,0.256551662,-0.226279794,2
-0.040978335,-0.236487221,-0.229942311,-0.023122461,0.038313772,-0.035980378,0.338262827,0.424238183,-0.120259397,-0.159001395,-0.06139941,-0.366383842,-0.495597122,2
-0.042446217,-0.389289181,-0.238154969,-0.023705235,0.320425651,-0.032367339,0.338262827,0.424238183,-0.120259397,-0.205979935,-0.066503869,-0.66726929,-0.932571277,2
-0.037956753,0.167819203,-0.238029722,-0.00512561,0.295035582,-0.032752512,0.496781083,-0.992261396,0.110785337,-0.145019687,0.010819258,-0.002276424,1.590496696,0
-0.029805036,-0.151728541,-0.154364382,-0.021645771,-0.751599492,-0.039753209,-0.550665516,0.421405184,-0.149315732,0.067875124,-0.044821754,0.490329606,0.08068969,2
-0.042536073,-0.536636077,0.011856963,-0.018050352,0.290803904,-0.032807265,0.140333954,0.342081207,-0.122133999,7.790252227,-0.016505194,-0.691320867,0.723882031,2
-0.042784999,-0.075684214,-0.122873578,-0.016539091,1.290890517,-0.00060693,0.683324666,-0.898772423,0.109379385,10.85056853,-0.038701836,-0.763175823,0.889817801,2
-0.041551255,-0.223976453,-0.078500173,-0.017284844,0.547525714,-0.028023878,0.4950295,-0.47382255,-0.008017584,3.012609305,-0.03110319,-0.46747156,0.812294013,2
-0.041376444,-0.34606118,-0.23987265,-0.023917602,0.103199504,-0.035288265,0.151719243,0.20043125,-0.108543132,-0.139613426,-0.068609465,-0.434876203,-1.180780196,2
-0.034062312,-0.129126226,0.079848471,0.049842818,-0.535783904,-0.039324214,0.118439167,0.616882126,-0.149315732,0.925792743,0.672900956,0.280392166,2.649330866,0
-0.0266824,1.713349152,-0.082615449,-0.020944467,-0.860212565,-0.039877354,-0.540156019,0.721703094,-0.188682381,0.16630635,-0.028985333,0.609356533,0.254154202,0
-0.026853309,0.119784987,1.087196339,-0.000147338,-0.613364671,-0.039513474,0.400444021,0.452568175,-0.126117529,4.085472385,0.145466202,0.603391269,1.770595165,0
-0.029429425,1.116557807,-0.054345295,-0.020569121,-0.758652289,-0.039764045,-0.444694748,0.512061157,-0.1638439,0.331663353,-0.030907054,0.505892683,0.333355457,0
-0.036166855,-0.204839684,-0.21913524,-0.023270624,-0.682482081,-0.039647695,-0.703929024,0.699039101,-0.184933176,-0.07138269,-0.058460095,0.143420623,-0.585830925,2
-0.039204281,-0.571246409,-0.208041888,-0.023082951,-0.641575859,-0.039569843,-0.983306503,0.883184046,-0.190556983,-0.112022855,-0.055549521,-0.12828667,-0.473184787,2
-0.04232471,-0.134927201,-0.235095351,-0.023710174,-0.094278812,-0.037143026,-0.587448758,0.475232168,-0.156111166,-0.144087573,-0.0652703,-0.636138439,-0.937537729,0
-0.039840691,-0.260636462,-0.227347898,-0.023231114,-0.301631044,-0.038439134,-0.41579363,0.293920222,-0.134787564,-0.120971148,-0.061599539,-0.203776288,-0.560739395,2
-0.041159388,-0.352893439,-0.235721589,-0.023650909,-0.161985663,-0.037639131,-0.41579363,0.293920222,-0.134787564,-0.180067169,-0.065526996,-0.396614804,-0.879913465,2
-0.037257139,-0.138558181,-0.238333894,-0.023848459,-0.469487612,-0.039123168,-0.41579363,0.293920222,-0.134787564,-0.20765774,-0.067375212,0.058735496,-1.091085541,2
